DateTime,evap
2006-04-08,0
2006-04-09,-2.61003531752167e-08
2006-04-10,-1.39102312286073e-08
2006-04-11,-1.15761705230303e-08
2006-04-12,-6.18289460851907e-09
2006-04-13,0
2006-04-14,0
2006-04-15,0
2006-04-16,-6.27132570728649e-09
2006-04-17,-1.93001482924784e-08
2006-04-18,-1.65057606467108e-08
2006-04-19,-7.49822901980308e-09
2006-04-20,-2.54484052506281e-08
2006-04-21,-7.36822898874722e-09
2006-04-22,-9.30725433630609e-09
2006-04-23,-2.68361154274169e-08
2006-04-24,-2.6480655002222e-08
2006-04-25,-3.10420086287475e-09
2006-04-26,-2.35658005391731e-08
2006-04-27,-2.80962388298179e-08
2006-04-28,-2.07805047557446e-08
2006-04-29,-2.28283124137361e-08
2006-04-30,-1.90653899363478e-08
2006-05-01,-1.21329622367341e-08
2006-05-02,-1.61908000027973e-08
2006-05-03,-5.00119360355821e-09
2006-05-04,0
2006-05-05,0
2006-05-06,-6.59970669798565e-09
2006-05-07,-1.3646567709725e-08
2006-05-08,-1.23168357917125e-08
2006-05-09,-1.34197667299493e-08
2006-05-10,-6.62649148261246e-09
2006-05-11,0
2006-05-12,0
2006-05-13,0
2006-05-14,-1.00253589950196e-08
2006-05-15,-1.34564441963714e-08
2006-05-16,-7.65688716699829e-09
2006-05-17,-4.07296435329897e-09
2006-05-18,-6.72729121879602e-09
2006-05-19,0
2006-05-20,-1.4182053680975e-08
2006-05-21,-1.95124352134285e-08
2006-05-22,-3.96876274116951e-08
2006-05-23,-4.77439339062088e-08
2006-05-24,-3.17935084848993e-08
2006-05-25,-1.02988048057147e-08
2006-05-26,-3.71587479238092e-10
2006-05-27,0
2006-05-28,0
2006-05-29,0
2006-05-30,0
2006-05-31,0
2006-06-01,0
2006-06-02,0
2006-06-03,-7.4056010359548e-10
2006-06-04,-1.20590555550297e-08
2006-06-05,-2.18897030222885e-08
2006-06-06,-1.12680912960585e-08
2006-06-07,-4.22218611279438e-09
2006-06-08,-2.0496945644297e-08
2006-06-09,-7.59343220613908e-09
2006-06-10,-2.31445344861569e-09
2006-06-11,-5.88811509049852e-08
2006-06-12,-2.15011020514497e-08
2006-06-13,-6.08040245182045e-10
2006-06-14,-4.55410537523109e-09
2006-06-15,-9.35919142834933e-09
2006-06-16,-3.19532100207254e-08
2006-06-17,-1.03324912023841e-08
2006-06-18,0
2006-06-19,0
2006-06-20,0
2006-06-21,-2.60402989988359e-08
2006-06-22,-1.63204086355261e-08
2006-06-23,0
2006-06-24,-3.3232703652854e-09
2006-06-25,-4.71991958362386e-09
2006-06-26,-1.49512344740562e-08
2006-06-27,-2.43548425213362e-08
2006-06-28,-2.85596945243596e-08
2006-06-29,-8.40560982211669e-09
2006-06-30,-1.46957439068651e-08
2006-07-01,-5.8212039010715e-08
2006-07-02,-2.93603370858521e-08
2006-07-03,-2.86772188033749e-08
2006-07-04,-2.21412930376341e-08
2006-07-05,-2.46038533667111e-08
2006-07-06,-3.49055285589267e-08
2006-07-07,-5.41921473299329e-08
2006-07-08,-2.59742657731821e-08
2006-07-09,-2.00420198644221e-08
2006-07-10,-3.03817167141053e-08
2006-07-11,-3.17322959542209e-08
2006-07-12,-1.91356516437535e-08
2006-07-13,-3.04463621696326e-08
2006-07-14,-1.52704663894886e-08
2006-07-15,-1.34337910954805e-08
2006-07-16,-1.43046999503397e-08
2006-07-17,-1.72836503437639e-08
2006-07-18,-1.81420189510495e-08
2006-07-19,-3.78181722788567e-08
2006-07-20,-4.10728385475949e-08
2006-07-21,-4.95042447023997e-08
2006-07-22,-2.05335447096729e-08
2006-07-23,-3.95997819288374e-08
2006-07-24,-4.31668372796071e-08
2006-07-25,-4.02297268941936e-08
2006-07-26,-3.39822379258935e-08
2006-07-27,-2.90175724961912e-08
2006-07-28,-2.89033905069553e-08
2006-07-29,-4.92754705054676e-08
2006-07-30,-4.07321329697188e-08
2006-07-31,-5.07225058722308e-08
2006-08-01,-3.16789894400617e-08
2006-08-02,-1.38321118942415e-08
2006-08-03,-2.62561385671145e-08
2006-08-04,-3.25003361987681e-08
2006-08-05,-4.83541796693061e-08
2006-08-06,-6.62555914807985e-08
2006-08-07,-5.69615298568229e-08
2006-08-08,-3.43230796029267e-08
2006-08-09,-8.12716413430778e-08
2006-08-10,-4.50985754762288e-08
2006-08-11,-7.68798031909808e-08
2006-08-12,-8.59466886472699e-08
2006-08-13,-9.12353522187234e-08
2006-08-14,-6.89383670845136e-08
2006-08-15,-5.08102396080459e-08
2006-08-16,-3.90861217343339e-08
2006-08-17,-4.43524111662782e-08
2006-08-18,-6.56010701335248e-09
2006-08-19,-2.9744903196268e-08
2006-08-20,-2.30929812219635e-08
2006-08-21,-4.759067770399e-08
2006-08-22,-4.63979732838976e-08
2006-08-23,-3.94448269834347e-08
2006-08-24,-6.29806687966333e-08
2006-08-25,-4.5557107044502e-08
2006-08-26,-3.76595564432851e-08
2006-08-27,-4.47640588774593e-08
2006-08-28,-8.06036682708728e-08
2006-08-29,-2.24124690538125e-08
2006-08-30,-1.22359038857659e-08
2006-08-31,-4.9697278590218e-08
2006-09-01,-5.19081030561535e-08
2006-09-02,-4.25523029415412e-08
2006-09-03,-9.48151980354098e-08
2006-09-04,-3.50856838531763e-08
2006-09-05,-2.58297863574443e-08
2006-09-06,-2.37486336851021e-08
2006-09-07,-2.08542700042173e-08
2006-09-08,-2.19430631225056e-08
2006-09-09,-2.4247735257234e-08
2006-09-10,-2.79869757639324e-08
2006-09-11,-4.75032956915868e-08
2006-09-12,-4.34214389698263e-08
2006-09-13,-1.52874739271529e-08
2006-09-14,-4.39245518524197e-08
2006-09-15,-1.42048505040572e-08
2006-09-16,-7.74353432953199e-09
2006-09-17,-1.67263378682017e-08
2006-09-18,-1.68233584399967e-08
2006-09-19,-2.38604578064189e-08
2006-09-20,-8.55068471639893e-09
2006-09-21,-6.12578203337198e-08
2006-09-22,-5.66254703153724e-08
2006-09-23,-3.77709064889906e-08
2006-09-24,-1.98837892570328e-08
2006-09-25,-5.88264253821691e-08
2006-09-26,-3.05254146393043e-08
2006-09-27,-4.42158063989015e-08
2006-09-28,-3.49847805640451e-08
2006-09-29,-5.51765347101631e-08
2006-09-30,-6.45280495684265e-08
2006-10-01,-4.39132628813218e-08
2006-10-02,-2.37962736467764e-08
2006-10-03,-3.784672408859e-08
2006-10-04,-1.04113674779566e-08
2006-10-05,-4.06717367821147e-09
2006-10-06,-3.57967704370354e-08
2006-10-07,-2.76410018640106e-08
2006-10-08,-1.5888575619232e-08
2006-10-09,-2.22098439598889e-08
2006-10-10,-1.84932507809173e-08
2006-10-11,-9.25646541936316e-09
2006-10-12,-4.97097175593519e-08
2006-10-13,-3.24575472576461e-08
2006-10-14,-5.17384566476897e-08
2006-10-15,-4.34507147466736e-08
2006-10-16,-3.344955510547e-08
2006-10-17,-1.91375915585502e-08
2006-10-18,-6.02127794665003e-08
2006-10-19,-1.29752588643649e-08
2006-10-20,-1.17718492367165e-08
2006-10-21,-2.54872339779672e-08
2006-10-22,-6.75995476252304e-08
2006-10-23,-2.34445490777632e-08
2006-10-24,-3.22600716825512e-08
2006-10-25,-4.35088813465416e-08
2006-10-26,-6.4886761918637e-08
2006-10-27,-5.91729804959402e-08
2006-10-28,-2.22634472714374e-08
2006-10-29,-1.17384570114471e-08
2006-10-30,-9.58082564571024e-08
2006-10-31,-3.99153956139247e-08
2006-11-01,-3.62047770761962e-09
2006-11-02,-9.39429621127158e-09
2006-11-03,-1.94321041640784e-08
2006-11-04,-3.10097959818703e-08
2006-11-05,-2.48852994374552e-08
2006-11-06,-2.10129458021756e-08
2006-11-07,-9.18237014710317e-09
2006-11-08,-1.24052301759903e-08
2006-11-09,0
2006-11-10,0
2006-11-11,-1.65253856925231e-08
2006-11-12,-1.85442572150923e-09
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,-1.2566146309482e-08
2006-11-19,-2.20057790219002e-08
2006-11-20,-2.14009018788068e-08
2006-11-21,-4.46503565691784e-08
2006-11-22,-1.73143039483691e-08
2006-11-23,-2.00434829046257e-08
2006-11-24,-1.93273451895831e-08
2006-11-25,-2.53393566276938e-08
2006-11-26,-1.96187947002326e-08
2006-11-27,-1.3794849723989e-08
2006-11-28,-4.00911387342296e-09
2006-11-29,-2.08244507322968e-08
2006-11-30,-2.52300916917455e-09
2006-12-01,0
2006-12-02,0
2006-12-03,-6.27222805064574e-08
2006-12-04,-2.68884238904175e-08
2006-12-05,-5.02436815115214e-08
2006-12-06,-2.28557653800251e-08
2006-12-07,-4.25385732016448e-08
2006-12-08,-1.41475141850595e-08
2006-12-09,-7.17943121607147e-08
2006-12-10,-2.49160277891258e-08
2006-12-11,-1.67539261232079e-08
2006-12-12,-1.09276579341078e-08
2006-12-13,-1.68317541633682e-08
2006-12-14,-3.78971781353273e-09
2006-12-15,-5.80820653416238e-09
2006-12-16,0
2006-12-17,-1.04702942651882e-08
2006-12-18,-3.08217505017383e-09
2006-12-19,-1.67274269204548e-08
2006-12-20,-2.50133976315554e-08
2006-12-21,-1.89710662081286e-08
2006-12-22,-1.88892945718836e-08
2006-12-23,-1.50106158944534e-08
2006-12-24,-3.63365282289068e-09
2006-12-25,-1.56949423185834e-08
2006-12-26,-6.9318632774452e-09
2006-12-27,-2.51518839592523e-09
2006-12-28,-3.1461971290376e-08
2006-12-29,-1.08948272659824e-08
2006-12-30,-2.2721603357818e-08
2006-12-31,-1.73071012858581e-08
2007-01-01,-1.77576477089385e-09
2007-01-02,-1.0901285049951e-09
2007-01-03,-2.04655272644913e-08
2007-01-04,-1.13728726241161e-08
2007-01-05,-7.21839957211073e-09
2007-01-06,0
2007-01-07,0
2007-01-08,-2.77218857229731e-09
2007-01-09,-3.99916906724716e-09
2007-01-10,-1.48530044937294e-08
2007-01-11,-5.48740455319707e-08
2007-01-12,-1.75655735242391e-08
2007-01-13,-4.7791954219599e-09
2007-01-14,-8.2807512587322e-09
2007-01-15,-1.2721829462298e-09
2007-01-16,-8.26746818504266e-09
2007-01-17,-3.6478067707314e-08
2007-01-18,-1.05702603677635e-08
2007-01-19,-8.80149667880289e-09
2007-01-20,-3.80716710460213e-09
2007-01-21,-3.05014235993912e-08
2007-01-22,-1.1092977147737e-08
2007-01-23,-3.62712525901139e-09
2007-01-24,-2.32991520927674e-09
2007-01-25,-5.27819770529268e-09
2007-01-26,-1.71323652337214e-08
2007-01-27,-1.60313335168318e-08
2007-01-28,-4.51496594705774e-09
2007-01-29,-1.08572289194069e-09
2007-01-30,-1.13504505594602e-08
2007-01-31,-2.96271840939075e-09
2007-02-01,-4.11052684800864e-09
2007-02-02,-1.47702106390672e-09
2007-02-03,-2.00554129833585e-09
2007-02-04,-6.22194938078433e-09
2007-02-05,-9.79610377521451e-09
2007-02-06,-1.85275994857257e-08
2007-02-07,-4.76807316440179e-09
2007-02-08,-8.18161273682159e-09
2007-02-09,-8.74366028121009e-09
2007-02-10,-6.61335072745244e-09
2007-02-11,-2.19550275362138e-09
2007-02-12,-7.60333808614096e-09
2007-02-13,-8.58598240688246e-09
2007-02-14,-8.20024447139046e-09
2007-02-15,-1.11600145346742e-08
2007-02-16,-1.36629053384574e-08
2007-02-17,-5.28508254575002e-09
2007-02-18,0
2007-02-19,-3.00715075582001e-09
2007-02-20,-2.34214542365167e-09
2007-02-21,-5.95481533702214e-10
2007-02-22,0
2007-02-23,0
2007-02-24,-5.63545930815072e-09
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,-7.90473590512725e-10
2007-03-01,0
2007-03-02,-8.26742207687912e-12
2007-03-03,-4.06391623379079e-10
2007-03-04,0
2007-03-05,-1.06081997002788e-10
2007-03-06,-9.36120743460129e-09
2007-03-07,-8.83623526637342e-09
2007-03-08,-5.70310951927018e-09
2007-03-09,-1.10384116694908e-08
2007-03-10,-2.08173348315588e-09
2007-03-11,-2.11414772337801e-09
2007-03-12,0
2007-03-13,0
2007-03-14,-2.40673937795028e-09
2007-03-15,0
2007-03-16,-9.08605749803479e-09
2007-03-17,-1.08319168149579e-08
2007-03-18,-1.47057054073006e-08
2007-03-19,-1.5612150404301e-08
2007-03-20,-7.03557430570157e-09
2007-03-21,-7.26905780495062e-09
2007-03-22,-2.05857331031633e-09
2007-03-23,0
2007-03-24,0
2007-03-25,-5.58477037525508e-09
2007-03-26,-6.50277146080676e-09
2007-03-27,-4.79539675806377e-09
2007-03-28,0
2007-03-29,-5.45390155457332e-08
2007-03-30,-5.65722032893547e-08
2007-03-31,-3.43681366258236e-08
2007-04-01,-1.98031930889945e-08
2007-04-02,-1.44186770599089e-08
2007-04-03,-7.82304479841067e-09
2007-04-04,-1.06614648121675e-08
2007-04-05,-2.23925426596667e-08
2007-04-06,-2.86192473111607e-08
2007-04-07,-2.01965925184736e-08
2007-04-08,-1.31560652871861e-08
2007-04-09,-3.61135061769697e-08
2007-04-10,-2.35766668260798e-08
2007-04-11,-2.40028316197147e-08
2007-04-12,-6.48244649750543e-09
2007-04-13,-1.54024140134557e-08
2007-04-14,-1.56509432068906e-08
2007-04-15,-7.33590682965400e-09
2007-04-16,-2.15626179243481e-08
2007-04-17,-7.4417850276088e-09
2007-04-18,-1.24851402527969e-08
2007-04-19,-4.86901048851263e-09
2007-04-20,-1.18154742945236e-08
2007-04-21,-9.55554990163665e-09
2007-04-22,-8.47216745979517e-09
2007-04-23,-3.43738372000244e-12
2007-04-24,0
2007-04-25,-1.78301257136143e-08
2007-04-26,-4.68820713634412e-09
2007-04-27,-7.26527533983453e-09
2007-04-28,0
2007-04-29,0
2007-04-30,0
2007-05-01,-2.53829394281779e-08
2007-05-02,-1.18536723510254e-08
2007-05-03,-2.61049672146415e-08
2007-05-04,-3.10973845418334e-08
2007-05-05,-2.78598251273453e-08
2007-05-06,-2.86709595707496e-08
2007-05-07,-1.61228631431309e-08
2007-05-08,-1.20545016712017e-08
2007-05-09,-2.70940612981491e-09
2007-05-10,0
2007-05-11,0
2007-05-12,0
2007-05-13,-1.19238693164242e-08
2007-05-14,-4.03308813560042e-08
2007-05-15,-1.74803620104693e-08
2007-05-16,0
2007-05-17,0
2007-05-18,-1.03303410240848e-08
2007-05-19,-1.15628004721562e-08
2007-05-20,-3.46899980036643e-09
2007-05-21,-1.90556453724415e-08
2007-05-22,-1.86871261567088e-08
2007-05-23,-1.46096575202377e-09
2007-05-24,-1.50007807938194e-09
2007-05-25,0
2007-05-26,0
2007-05-27,-1.41453783278114e-08
2007-05-28,-4.54342684766009e-09
2007-05-29,-1.69532355773924e-08
2007-05-30,-1.6782557529244e-08
2007-05-31,-3.13537635913343e-09
2007-06-01,-4.49496174864825e-09
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,-5.3986396459152e-09
2007-06-06,-2.46914635992435e-09
2007-06-07,-4.79018318076607e-08
2007-06-08,-1.68187715587194e-08
2007-06-09,0
2007-06-10,0
2007-06-11,-7.29010163908317e-09
2007-06-12,-4.59324029257126e-09
2007-06-13,-7.56339703018503e-09
2007-06-14,-3.22680874632544e-08
2007-06-15,-1.56768031811828e-08
2007-06-16,-6.54535944681184e-09
2007-06-17,-9.09211618264542e-09
2007-06-18,-2.12666871558866e-08
2007-06-19,-2.9322061970667e-08
2007-06-20,-4.38791361551382e-09
2007-06-21,-4.63093337780534e-08
2007-06-22,-4.09960028737899e-08
2007-06-23,-1.02716078029056e-07
2007-06-24,-6.52194528536286e-08
2007-06-25,-2.92033446267182e-08
2007-06-26,-4.91360187928573e-09
2007-06-27,0
2007-06-28,0
2007-06-29,-1.1213905436353e-08
2007-06-30,-4.10202314500685e-08
2007-07-01,-4.53723686470447e-08
2007-07-02,-7.96560869073688e-08
2007-07-03,-5.75899248305819e-08
2007-07-04,-1.5513405482002e-08
2007-07-05,-4.51197815991753e-08
2007-07-06,-7.5816159823929e-09
2007-07-07,-3.35555874111101e-08
2007-07-08,-2.85235095295217e-08
2007-07-09,-1.08549357574111e-08
